model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhone12,iPhone12 256GB,,,未開封買取価格,"33,000円",2025-12-02 13:07:47.803227+00:00
iPhone12 Pro,iPhone12 Pro 128GB,,,未開封買取価格,"35,000円",2025-12-02 13:07:47.803424+00:00
iPhone12 Pro,iPhone12 Pro 256GB,,,未開封買取価格,"38,000円",2025-12-02 13:07:47.803513+00:00
iPhone12 Pro,iPhone12 Pro 512GB,,,未開封買取価格,"39,000円",2025-12-02 13:07:47.803601+00:00
iPhone12 Pro Max,iPhone12 Pro Max 128GB,,,未開封買取価格,"46,000円",2025-12-02 13:07:47.803799+00:00
iPhone12 Pro Max,iPhone12 Pro Max 256GB,,,未開封買取価格,"51,000円",2025-12-02 13:07:47.803889+00:00
iPhone12 Pro Max,iPhone12 Pro Max 512GB,,,未開封買取価格,"52,000円",2025-12-02 13:07:47.803978+00:00
iPhoneSE2,iPhoneSE2 64GB,,,未開封買取価格,"12,500円",2025-12-02 13:07:47.804172+00:00
iPhoneSE2,iPhoneSE2 128GB,,,未開封買取価格,"14,500円",2025-12-02 13:07:47.804263+00:00
iPhoneSE2,iPhoneSE2 256GB,,,未開封買取価格,"15,500円",2025-12-02 13:07:47.804352+00:00
iPhone11,iPhone11 64GB,,,未開封買取価格,"20,500円",2025-12-02 13:07:47.804552+00:00
iPhone11,iPhone11 128GB,,,未開封買取価格,"23,500円",2025-12-02 13:07:47.804641+00:00
iPhone11,iPhone11 256GB,,,未開封買取価格,"24,500円",2025-12-02 13:07:47.804739+00:00
iPhone11 Pro,iPhone11 Pro 64GB,,,未開封買取価格,"24,500円",2025-12-02 13:07:47.804939+00:00
iPhone11 Pro,iPhone11 Pro 256GB,,,未開封買取価格,"29,500円",2025-12-02 13:07:47.805028+00:00
iPhone11 Pro,iPhone11 Pro 512GB,,,未開封買取価格,"31,500円",2025-12-02 13:07:47.805119+00:00
iPhone11 Pro Max,iPhone11 Pro Max 64GB,,,未開封買取価格,"30,500円",2025-12-02 13:07:47.805317+00:00
iPhone11 Pro Max,iPhone11 Pro Max 256GB,,,未開封買取価格,"33,500円",2025-12-02 13:07:47.805411+00:00
iPhone11 Pro Max,iPhone11 Pro Max 512GB,,,未開封買取価格,"34,500円",2025-12-02 13:07:47.805508+00:00
iPhoneXR,iPhoneXR 64GB,,,未開封買取価格,"17,000円",2025-12-02 13:07:47.805717+00:00
iPhoneXR,iPhoneXR 128GB,,,未開封買取価格,"19,000円",2025-12-02 13:07:47.805805+00:00
